,Div,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,bet_favorite,compare
234,F2,Rodez,Nancy,D,2.5,3.0,2.8,H,False
235,F2,Sochaux,Le Mans,H,1.83,3.25,4.75,H,True
236,F2,Troyes,Chateauroux,H,1.75,3.4,5.0,H,True
237,F2,Guingamp,Lorient,H,3.1,3.0,2.4,A,False
238,F2,Lens,Grenoble,D,1.66,3.5,5.5,H,False
239,F2,Auxerre,Chambly,D,1.72,3.1,6.0,H,False
240,F2,Caen,Troyes,A,2.62,2.87,3.1,H,False
241,F2,Grenoble,Niort,H,1.72,3.2,5.75,H,True
242,F2,Le Mans,Rodez,D,2.5,3.0,3.0,H,False
243,F2,Orleans,Ajaccio,A,3.6,2.9,2.25,A,True
244,F2,Paris FC,Le Havre,H,3.5,2.87,2.3,A,False
245,F2,Valenciennes,Sochaux,H,2.5,3.0,3.0,H,True
246,F2,Lorient,Clermont,A,1.9,3.0,4.75,H,False
247,F2,Nancy,Guingamp,A,2.5,3.0,3.0,H,False
248,F2,Chateauroux,Lens,H,5.5,3.2,1.75,A,False
249,F2,Ajaccio,Le Mans,H,1.57,3.75,7.0,H,True
250,F2,Chambly,Nancy,H,3.25,2.62,2.62,D,False
251,F2,Clermont,Paris FC,A,1.75,3.3,5.25,H,False
252,F2,Grenoble,Chateauroux,A,1.85,3.0,5.5,H,False
253,F2,Guingamp,Sochaux,D,1.83,3.2,5.0,H,False
254,F2,Le Havre,Orleans,A,1.66,3.5,5.75,H,False
255,F2,Niort,Valenciennes,H,2.87,2.87,2.75,A,False
256,F2,Rodez,Lorient,A,4.5,3.25,1.85,A,True
257,F2,Lens,Caen,A,1.57,3.5,7.0,H,False
258,F2,Troyes,Auxerre,H,2.25,2.9,3.6,H,True
259,F2,Auxerre,Niort,H,1.66,3.4,6.0,H,True
260,F2,Caen,Grenoble,H,2.62,2.87,3.0,H,True
261,F2,Chateauroux,Le Havre,A,4.2,3.1,2.0,A,True
262,F2,Le Mans,Guingamp,H,3.8,3.2,2.05,A,False
263,F2,Nancy,Clermont,A,2.9,2.87,2.7,A,True
264,F2,Orleans,Troyes,A,3.4,2.9,2.3,A,True
265,F2,Sochaux,Rodez,D,2.15,2.9,4.0,H,False
266,F2,Valenciennes,Ajaccio,D,3.2,2.9,2.45,A,False
267,F2,Lorient,Chambly,A,1.5,3.75,8.5,H,False
268,F2,Paris FC,Lens,A,4.0,3.0,2.1,A,True
269,F2,Chambly,Le Mans,D,2.2,3.0,3.6,H,False
270,F2,Chateauroux,Caen,H,3.4,2.9,2.37,A,False
271,F2,Clermont,Sochaux,H,1.83,3.25,4.75,H,True
272,F2,Grenoble,Valenciennes,A,2.05,3.0,4.1,H,False
273,F2,Le Havre,Auxerre,H,2.15,3.1,3.8,H,True
