,Div,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,bet_favorite,compare
539,F2,Auxerre,Rodez,A,1.9,3.4,4.2,H,False
540,F2,Caen,Paris FC,A,3.25,3.0,2.37,A,True
541,F2,Chateauroux,Nancy,A,2.5,3.1,2.87,H,False
542,F2,Clermont,Valenciennes,H,1.44,3.75,9.5,H,True
543,F2,Dunkerque,Chambly,D,2.3,3.1,3.3,H,False
544,F2,Grenoble,Niort,D,1.8,3.4,4.75,H,False
545,F2,Pau FC,Le Havre,H,2.75,3.0,2.7,A,False
546,F2,Sochaux,Guingamp,D,2.0,3.1,4.2,H,False
547,F2,Ajaccio,Rodez,H,2.25,2.8,3.75,H,True
548,F2,Amiens,Auxerre,D,3.2,3.0,2.45,A,False
549,F2,Chambly,Troyes,A,7.0,4.33,1.45,A,True
550,F2,Guingamp,Clermont,A,4.2,3.5,1.85,A,True
551,F2,Le Havre,Grenoble,A,2.5,3.1,3.0,H,False
552,F2,Nancy,Caen,H,2.25,2.8,3.8,H,True
553,F2,Niort,Sochaux,A,3.0,3.0,2.5,A,True
554,F2,Paris FC,Dunkerque,H,1.57,3.6,6.5,H,True
555,F2,Pau FC,Chateauroux,H,2.15,3.1,3.5,H,True
556,F2,Valenciennes,Toulouse,H,5.0,3.75,1.66,A,False
557,F2,Auxerre,Paris FC,D,2.5,3.0,3.0,H,False
558,F2,Ajaccio,Guingamp,A,2.05,3.0,4.2,H,False
559,F2,Dunkerque,Niort,H,2.55,2.9,3.0,H,True
560,F2,Grenoble,Pau FC,D,1.83,3.4,4.75,H,False
561,F2,Rodez,Valenciennes,H,2.0,3.1,3.8,H,True
562,F2,Sochaux,Chateauroux,D,1.6,3.75,6.0,H,False
563,F2,Toulouse,Chambly,H,,,,,False
564,F2,Troyes,Nancy,A,1.61,3.5,6.0,H,False
565,F2,Caen,Le Havre,A,2.5,3.0,3.0,H,False
566,F2,Chambly,Ajaccio,H,5.0,3.1,1.9,A,False
567,F2,Amiens,Troyes,H,4.0,3.25,1.95,A,False
568,F2,Chateauroux,Caen,D,2.7,3.0,2.8,H,False
569,F2,Guingamp,Rodez,D,2.4,2.9,3.2,H,False
570,F2,Le Havre,Sochaux,A,2.8,3.0,2.8,H,False
571,F2,Nancy,Clermont,H,4.5,3.1,1.9,A,False
572,F2,Niort,Toulouse,H,5.25,3.6,1.65,A,False
573,F2,Paris FC,Grenoble,H,2.05,3.2,3.6,H,True
574,F2,Pau FC,Dunkerque,H,2.2,3.0,3.6,H,True
575,F2,Valenciennes,Auxerre,D,4.5,3.0,2.0,A,False
